TrialDurations
83.58
83.42
84.7
83.55
84.03
83.42
84.1
83.67
84.08
84.14
83.36
84.19
85.68
83.52
83.85
83.57
83.48
84.09
83.63
84.12
83.34
84.12
83.54
84.59
83.88
84.2
83.45
84.26
83.76
84.22
