TrialDurations
83.75
84.09
83.63
83.5
84.12
83.76
83.97
83.6
84.39
83.5
84.07
83.65
85.04
83.7
83.57
83.92
84.21
83.75
83.52
84.04
83.6
84.83
83.55
84.35
83.5
84.16
83.57
84.28
86.22
92.46
