0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
23400,25300,29700,29900,32500,36100,36200,38100,38100,39200,42400,43400,43800,44500,46800,46800,48100,48100,48400,51500,53000,53000,53000,53800,55100,55100,57100,59800,59800,59800,60400,62800,62800,62800,62800,63900,63900,63900,64000,64000,64900,64900,64900,65000,65000,65100,65800,65800,65800,65800,65800,65800,65900,65900,65900,65900,65900,65900,65900,66400,66400,66500,67300,67300,67300,67300,67300,68200,68200,68300,68300,68300,68500,68500,68500,69900,69900,69900,69900,70400,70400,70400,70400,70400,70400,70400,70500,70500,70500,70500,70500,70500,70600,70600,70600,70600,70700,70700,70700,70700,70700,70700,70700,70900,71000,71000,71000,71200,71200,71300,71300,71300,71300,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700
20900,25100,31000,31200,34800,34800,34800,36400,37600,38800,39700,40600,42600,44800,46600,48300,48300,50600,52900,52900,53000,55500,57400,59700,59700,59700,59700,59700,61300,61900,61900,61900,65600,65600,65600,65600,67300,67300,67300,67300,67600,67700,69400,69500,70100,70100,70100,70100,70100,70100,72000,72000,72000,72000,72000,72000,73300,73300,73300,73300,73500,73500,74500,74500,74800,74800,74900,74900,74900,75400,75600,75600,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75800,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76500,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700,76700
19800,25900,27700,30300,42400,42700,42700,45400,45400,49500,50600,50600,51300,51300,52200,52200,53500,53600,56200,57100,58800,58800,58800,58800,59400,59400,59400,59400,59400,59400,61100,61100,61100,61300,61300,62700,63000,63000,63000,63000,63000,63000,63000,63600,63600,63600,63600,63600,63700,63700,63700,64200,64200,64200,64300,64300,64300,64300,64400,65300,66000,66200,66200,66200,66300,66300,66300,66300,66400,66400,66400,66400,66500,66500,66500,66500,67900,67900,67900,67900,67900,69200,69200,69200,69200,69200,69200,70300,70300,70300,70300,70300,70300,70300,70300,70400,70400,73100,73100,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73400,74400,74400,74900,75000,75000,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,76000,76500,76500,76500,77300,77300,77300,77300
18600,27900,27900,27900,30600,36300,38200,38200,40900,40900,41700,42400,43500,43500,46900,46900,52100,52100,57300,57300,57300,57300,57300,57600,57600,57600,59500,59900,61300,61300,62300,64300,64300,65700,65700,65700,66400,66400,66400,66400,66400,68300,68300,68300,68300,68300,68300,68300,70500,70500,70500,70600,70600,71400,71400,71400,71400,71400,71400,71400,71400,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,73100,74800,74800,74800,74800,74800,74800,74800,74800,74900,74900,74900,75000,75000,75000,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,75100,76500,76500,76500,76500,76500,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76800,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900,76900
21200,24700,28900,33800,33800,33800,34400,37100,42300,44800,44800,44800,44800,44800,46600,46600,48800,48800,48800,49500,50600,51200,53500,53500,53500,55200,55200,55200,56300,56300,59600,60200,60200,61900,62400,62400,62400,65000,65000,65000,65000,65900,66300,66300,66300,67300,67300,67300,67600,71100,71100,71100,71400,71400,71400,73300,73400,73900,73900,73900,74000,74100,74100,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75200,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700
21900,23000,36500,36500,36500,37200,39700,42300,42300,42700,45100,48400,53300,53300,56000,59800,59800,59800,61400,61400,61400,61400,64900,64900,66400,66400,66900,66900,68000,68000,68000,68000,68000,68000,71000,71000,71000,71000,71000,71100,71100,71100,71100,71100,71300,71300,71300,71300,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72900,72900,72900,72900,72900,72900,72900,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900,73900
23500,23500,31100,35800,35900,37200,37700,39800,42900,43600,43600,44100,45800,51000,55400,56000,56000,56000,57200,57200,58500,58500,58500,60600,60600,60600,60800,63300,63300,63300,63700,63700,65300,65300,65300,67200,67200,68600,68600,68600,68600,68600,68600,68600,68600,68600,68700,70300,70300,70300,70300,70300,70300,70300,70300,70300,71300,71300,71600,72000,72000,73400,73400,73400,73400,73400,73400,73400,73400,74800,74800,74800,74800,74800,75000,75000,75000,75000,75000,75000,75000,75500,75500,75500,75500,75500,75500,75500,75500,75600,75600,75600,75600,75600,75600,75600,75600,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,75700,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000
24700,28900,30800,36600,36600,40100,40100,40100,41500,42600,44100,45400,47500,47500,47800,48100,50400,50400,56100,56100,56100,56900,56900,56900,58300,58300,58300,58300,58300,58300,59700,59700,59700,60300,60300,60300,60300,61000,61000,61000,61000,61200,63200,63200,63600,64600,64600,64700,64900,64900,64900,65500,65500,65500,65500,66000,66100,66100,66100,66100,68900,68900,68900,69600,69600,69600,69600,69600,69800,69800,69800,69800,70600,70600,70600,70600,70600,70600,70600,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70800,70800,70800,70800,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300
19100,21400,30900,40100,40100,42000,44100,47000,50300,50300,50300,50300,52200,52200,53400,53400,53400,53800,54500,54500,54500,55700,59800,59800,59800,60800,60800,62800,62800,62800,64800,64800,64800,65900,66600,66600,66600,66600,68100,68100,68200,69100,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72500,72500,72500,72500,72500,72500,72500,72600,72600,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000
21600,27900,28800,38500,38500,40900,40900,46100,46100,46100,47700,47700,50000,50000,50000,51200,51200,53100,53500,53700,53700,54500,54700,55300,55400,56400,57000,57700,59300,59300,59300,59300,60300,62500,63300,63300,63300,65700,65700,65700,65800,65800,65900,68100,68100,68100,68200,68300,68300,68300,68300,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800
20000,28800,30300,33100,41300,41300,41300,41900,41900,49900,49900,49900,49900,49900,53000,53000,53000,56800,56800,58800,58800,58900,58900,62100,62100,62100,62100,62100,62800,62800,65800,65800,67700,67700,67700,67700,70800,70800,70800,70800,70800,70800,71000,71000,71000,71000,72800,72800,72800,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,73000,73000,73000,73000,73000,73000,73000,73000,74400,74400,74400,74400,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74600,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800
19700,25800,27100,31800,36900,37000,38000,42300,42400,47800,47800,47800,47800,47800,51600,51600,51600,53300,53400,53400,53400,54500,55000,56100,58100,58100,58100,58100,58100,59200,59700,61900,62600,63000,63000,63000,63900,65100,65100,65100,66400,66400,68800,69000,69000,69000,69000,69000,69000,69000,69000,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,69100,70000,70000,70000,70800,70800,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,71000,71000,71000,72300,72300,72300,72300,72300,72300,72300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300,74300
21500,22100,27300,27300,27900,30300,34900,38600,38600,42200,42200,42200,50500,50500,50500,50900,50900,50900,52500,53600,53900,54100,54100,56500,60500,60500,61100,61400,63000,63000,63800,63800,66700,66700,68200,68200,68200,69400,69400,69400,69400,69400,69400,69400,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900
20000,24300,27800,34500,38500,38500,43900,43900,43900,46400,46400,48000,48000,48800,50200,50300,52300,53600,53600,54100,57100,58300,58300,58300,58900,61900,61900,61900,62000,62000,62000,62000,62000,62800,62800,62800,62800,62800,62800,62800,63800,63800,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64600,64600,64600,64600,64600,64600,64600,64900,64900,64900,64900,64900,64900,64900,64900,64900,65000,65000,65000,65000,65000,65000,65000,65000,65000,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400
20600,23400,29900,33000,34700,38900,38900,39400,41900,41900,43600,44000,45500,45500,47300,47300,47600,47600,48700,51300,51300,51400,51700,54700,54900,54900,56300,56300,58000,59200,59200,59300,59300,59300,59300,59300,59500,60000,60400,60800,60800,61000,61300,61300,62300,62300,62300,62300,62300,62300,62300,62300,62500,62500,62500,62500,62500,62500,62500,62500,63500,63500,63500,63500,63500,63500,64000,64000,64000,64800,64800,65000,65900,65900,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,66400,67700,67700,67700,67700,67700,67700,67700,68800,68800,68800,68800,70100,70100,70100,70100,70100,70100,70100,71500,71500,71500,71500,71500,71500,71500,71500,71500,72200,72500,72500,72500,72500,72500,72500,72500,72500,72500,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72600,72900,72900,72900,72900,72900,72900,72900,72900
19700,22600,30400,30800,30800,34900,34900,36400,38600,42200,43400,46600,47900,48700,49100,50200,51600,51600,52300,53100,53500,54000,55200,56700,57100,58000,58000,58800,58800,58800,58800,59900,61100,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,62700,63200,63200,65000,65500,65500,65800,66100,66100,66100,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,67000,67000,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500,69500
