0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
19900,19900,33700,33700,35100,35700,36800,38600,38600,38900,47200,47200,47400,47400,47400,49400,53000,53000,54300,56700,57100,58800,61000,63700,63700,63700,63700,63700,65800,65800,65800,65800,65800,65800,65800,67600,67600,68100,68100,68100,68100,69700,69700,70900,70900,70900,70900,70900,71900,71900,71900
28800,29600,34900,34900,38900,38900,40100,42100,47400,47400,47400,48100,48100,51200,51200,51200,51700,52500,54900,54900,54900,55700,55700,56500,56500,56500,58600,58600,59400,60800,61700,64900,64900,64900,64900,65100,65600,65900,67000,67000,68700,68700,68700,68700,68900,68900,68900,68900,70500,70500,70500
18600,24500,26700,37100,39300,39300,42300,43100,43600,43600,45800,45800,47900,48500,50600,50600,50600,52300,52300,52300,52800,56600,56600,56700,56700,56700,56700,58700,58700,58700,58800,60000,60000,60000,60000,60000,62000,62000,62000,62000,62000,62000,62000,63600,64000,64100,64100,64100,65100,65100,65100
20900,26200,29800,33500,38800,41400,42300,45500,47200,47200,47200,48200,50900,50900,50900,52400,54600,54600,54600,54600,56600,56600,56600,57300,57800,58700,58700,60200,60200,60200,60300,60300,61600,61600,62200,63600,64200,64200,65100,65100,65200,65700,65800,66700,66700,68800,71000,71000,71000,71000,71000
21200,25000,26400,28100,36300,36300,48300,48300,48300,48300,48300,49100,52400,52400,53100,53100,57400,57400,58400,58400,59800,59800,61100,64600,64600,64600,64600,64600,67500,67500,69000,69000,69000,69000,72300,72300,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73700,73700
26600,26600,26900,30700,33400,35500,36700,39400,39400,40900,46400,46600,49600,49600,50000,50300,51400,51600,53900,57500,60000,60000,60000,60300,63000,63400,64000,64000,64400,64700,64800,65500,65500,65600,65800,65800,65800,65800,65800,65900,65900,65900,66700,66700,66700,66700,66700,67800,67800,68500,68500
19900,25600,25600,28300,30400,38300,38300,39000,40700,41200,42800,42800,43200,48300,49400,49400,49400,49900,49900,53800,53800,54400,54600,55600,55600,55600,56500,57700,57700,57700,58700,58800,58800,58800,60000,60100,60100,60100,63700,63700,63700,63700,64400,64400,64400,64400,64400,64700,65700,65700,66000
19200,29100,36200,43200,43200,43200,45000,45300,47300,48600,51000,51700,52300,53200,55400,55400,56500,56500,56600,57600,60000,60000,60000,61200,62100,62100,62100,62700,64200,64200,64200,65500,65500,66000,66000,66000,66900,69000,69000,69000,69000,69000,69000,70300,70300,70600,70600,70600,70900,70900,71200
20200,28700,34400,39000,39000,39000,42000,46600,46600,47300,47300,48100,48900,49000,49400,49700,50300,52600,54300,54600,54600,54600,54600,54600,55900,56000,56500,56500,58200,58200,58200,58200,60000,60000,60600,60600,60600,60600,60600,60800,62600,62600,62600,62600,62700,62700,63300,63300,63300,63300,63300
20000,22400,32400,35300,36000,36000,39000,39700,39700,41800,42400,45100,49500,49500,49500,49500,49500,50700,50700,51400,53600,53600,55500,56400,57100,57100,58500,58500,58600,60300,60300,62600,62600,62600,62600,62800,62900,62900,63300,64600,64700,64800,64800,64800,64800,64800,64900,65300,65400,65400,65400
